id_video;id_document
004F2C9C-44B8-4429-9C2B-037CB2CC1A81;D4908685-3081-4F2A-97F4-7308072FFBE9
BA4BE5D0-85DE-409D-8976-047E74885C68;D4908685-3081-4F2A-97F4-7308072FFBE9
952A6DC7-E695-4EF8-94E0-14E9520BF6E0;0F0E1069-74FA-40F0-8FAE-98D46304A4A2
F8FF024F-9B38-47B5-8205-384D8771D617;DCC8940D-67B0-4394-A8CF-FC77073CCCB3
506DCDF8-297E-40B6-A6B0-38BBFB94DF4C;11149807-4465-4009-850D-D4BC431654E1
0C3FECD2-33C4-4919-AFC1-3CC6138F8F2C;BFC7A46A-8C17-4ACB-993C-7AA68C0FFE5D
1F9DF40E-1C99-45A0-B4D5-4483373D96D6;36FFB145-F808-4418-8858-0C1B754D1086
69336E7D-B1C3-4301-A199-47D88DCB5351;59CFE3F1-98BA-4030-95AB-3FD86AE4C285
67F4A08F-F837-48A3-B63A-4DE6AD8EA5EB;D4908685-3081-4F2A-97F4-7308072FFBE9
28A3DE33-61A2-495D-9DBD-6BEED48247B4;CCC54AA0-20F0-4777-A906-760A2ACAF32E
F38C0F0C-4A05-4672-A881-6EBCFB0DC119;D4908685-3081-4F2A-97F4-7308072FFBE9
49209FF4-394E-4A60-BA26-7262F0159931;C0B0F7BD-2C96-4B0C-B713-5CCAC78461DB
DC882CBD-D287-4319-86BB-78B1B9BB38A7;D5B2487E-CACC-4596-AB37-DAB2B362CB9E
EF9E0539-C8DC-486E-8418-78CAD770931D;BCE5898C-8054-438B-A298-3D8E1254A466
C8E7DE00-1443-4F86-B146-83ABAFAE5D98;0B8949F4-74AF-449A-97E6-113240AC1051
C8E7DE00-1443-4F86-B146-83ABAFAE5D98;C5CC29BC-A798-407C-87B7-AEB92E6FC61B
A5BCD5DB-71A0-49A8-BF23-8C4778660166;47DF01BF-BE6F-454B-B412-83B0A406B2F8
D7EAB71F-AC1C-490F-8FF3-B8E0D934871E;D4908685-3081-4F2A-97F4-7308072FFBE9
0862D63F-F492-46BE-8AA5-BD27A98B56BB;D4908685-3081-4F2A-97F4-7308072FFBE9
CC56C1B5-ED10-4F26-AE7A-DAAEE8911D63;8C376084-B848-402B-AD8E-B3CA1A828AEA
3816FAC8-1AC1-4EE5-A3A6-E58ECDDBE313;D4908685-3081-4F2A-97F4-7308072FFBE9
147D8A50-1879-4B3C-B773-F5DE7EEDBC0B;D4908685-3081-4F2A-97F4-7308072FFBE9
